公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300082,奥克股份,辽宁奥克化学股份有限公司,"Liao Ning Oxiranchem, Inc.",辽宁省辽阳市宏伟区万和七路38号,300082,奥克股份,2010-05-20,"680,670,000","673,920,000",,,,0,0,东北,辽宁,辽阳市,C 制造业,www.oxiranchem.com
300083,劲胜智能,广东劲胜智能集团股份有限公司,Guangdong JANUS Intelligent Group Corporation Limited,广东省东莞市长安镇上角村,300083,劲胜智能,2010-05-20,"1,431,865,568","1,123,116,726",,,,0,0,华南,广东,东莞市,C 制造业,www.januscn.com
300084,海默科技,海默科技（集团）股份有限公司,Haimo Technologies  Group  Corp.,甘肃省兰州市城关区张苏滩593号,300084,海默科技,2010-05-20,"384,765,738","306,924,655",,,,0,0,西北,甘肃,兰州市,B 采矿业,www.haimo.com.cn
300085,银之杰,深圳市银之杰科技股份有限公司,"SHENZHEN INFOGEM TECHNOLOGIES CO., LTD.",广东省深圳市福田区车公庙天安数码城天祥大厦AB座5B2,300085,银之杰,2010-05-26,"706,640,535","351,519,850",,,,0,0,华南,广东,深圳市,I 信息技术,www.yinzhijie.com
300086,康芝药业,康芝药业股份有限公司,"HONZ PHARMACEUTICAL CO., LTD.",海南省海口国家高新技术产业开发区药谷工业园药谷三路6号,300086,康芝药业,2010-05-26,"450,000,000","435,663,113",,,,0,0,华南,海南,海口市,C 制造业,www.honz.com.cn
300087,荃银高科,安徽荃银高科种业股份有限公司,"Winall Hi-tech Seed Co.,Ltd.",安徽省合肥市高新区创新大道98号,300087,荃银高科,2010-05-26,"422,381,151","345,072,449",,,,0,0,华东,安徽,合肥市,A 农林牧渔,www.winallseed.com
300088,长信科技,芜湖长信科技股份有限公司,"Wuhu Token Sciences Co.,LTD.",安徽省芜湖市经济技术开发区汽经二路以东,300088,长信科技,2010-05-26,"2,298,879,814","2,259,915,460",,,,0,0,华东,安徽,芜湖市,C 制造业,www.token-ito.com
300089,文化长城,广东文化长城集团股份有限公司,The Great Wall Of Culture Group Holding Co.，Ltd. Guangdong,广东省潮州市枫溪区蔡陇大道,300089,文化长城,2010-06-25,"434,800,140","264,276,259",,,,0,0,华南,广东,潮州市,C 制造业,www.thegreatwall-china.com
300090,盛运环保,安徽盛运环保（集团）股份有限公司,"Anhui Shengyun Environment-Protection group Co., Ltd",安徽省桐城市区快活岭,300090,盛运环保,2010-06-25,"1,319,952,922","877,170,648",,,,0,0,华东,安徽,安庆市,C 制造业,www.300090.com.cn
300091,金通灵,江苏金通灵流体机械科技股份有限公司,"JiangSu Jin Tong Ling Fluid Machinery Technology Co., Ltd.",江苏省南通市钟秀中路135号,300091,金通灵,2010-06-25,"555,598,900","354,593,885",,,,0,0,华东,江苏,南通市,C 制造业,www.jtlfans.com
300092,科新机电,四川科新机电股份有限公司,"Sichuan Kexin Mechanical and Electrical Equipment Co.,Ltd.",四川省什邡市马祖镇,300092,科新机电,2010-07-08,"237,797,500","167,007,895",,,,0,0,西南,四川,德阳市,C 制造业,www.sckxjd.com
300093,金刚玻璃,广东金刚玻璃科技股份有限公司,GUANGDONG GOLDEN GLASS TECHNOLOGIES LIMITED,广东省汕头市大学路叠金工业区,300093,金刚玻璃,2010-07-08,"216,000,000","215,234,625",,,,0,0,华南,广东,汕头市,C 制造业,www.golden-glass.cn
300094,国联水产,湛江国联水产开发股份有限公司,"ZHANJIANG GUOLIAN AQUATIC PRODUCTS CO., LTD",广东省湛江开发区平乐工业区永平南路,300094,国联水产,2010-07-08,"783,845,620","745,230,347",,,,0,0,华南,广东,湛江市,A 农林牧渔,www.gl-fish.com
300095,华伍股份,江西华伍制动器股份有限公司,"Jiangxi Huawu Brake Co., Ltd.",江西省丰城市高新技术产业园区火炬大道26号,300095,华伍股份,2010-07-28,"378,710,854","227,904,000",,,,0,0,华东,江西,宜春市,C 制造业,www.hua-wu.com
300096,易联众,易联众信息技术股份有限公司,"YLZ Information Technology CO.,Ltd",福建省厦门市软件园二期观日路18号502室,300096,易联众,2010-07-28,"430,000,000","380,169,358",,,,0,0,华东,福建,厦门市,I 信息技术,www.ylzinfo.com
300097,智云股份,大连智云自动化装备股份有限公司,"Dalian Zhiyun Automation Co., Ltd",辽宁省大连市甘井子区营日路32号-1,300097,智云股份,2010-07-28,"288,549,669","155,348,827",,,,0,0,东北,辽宁,大连市,C 制造业,www.zhiyun-cn.com
300098,高新兴,高新兴科技集团股份有限公司,"Gosuncn technology group Co., Ltd.",广东省广州市萝岗区科学城开创大道2819号六楼,300098,高新兴,2010-07-28,"1,106,119,491","591,983,088",,,,0,0,华南,广东,广州市,I 信息技术,www.gosuncn.com
300099,精准信息,尤洛卡精准信息工程股份有限公司,"Uroica Precision Information Engineering Co.,LTD",山东省泰安市高新区凤祥路以西规划支路以北,300099,精准信息,2010-08-06,"660,399,255","355,817,221",,,,0,0,华东,山东,泰安市,C 制造业,www.uroica.com.cn
300100,双林股份,宁波双林汽车部件股份有限公司,"Ningbo Shuanglin Auto Parts Co.,LTD",浙江省宁波市宁海县西店镇潢溪口,300100,双林股份,2010-08-06,"400,769,246","273,258,776",,,,0,0,华东,浙江,宁波市,C 制造业,www.shuanglin.cn
300101,振芯科技,成都振芯科技股份有限公司,"Chengdu CORPRO Technology Co.,Ltd.",四川省成都高新区高朋大道1号,300101,振芯科技,2010-08-06,"556,000,000","549,460,805",,,,0,0,西南,四川,成都市,C 制造业,www.corpro.cn
300102,乾照光电,厦门乾照光电股份有限公司,"Xiamen Changelight Co.,LTD.",福建省厦门火炬高新区（翔安）产业区翔天路259-269号,300102,乾照光电,2010-08-12,"704,553,311","704,538,311",,,,0,0,华东,福建,厦门市,C 制造业,www.changelight.com.cn
300103,达刚路机,西安达刚路面机械股份有限公司,"XI""AN DAGANG ROAD MACHINERY CO.,LTD.",陕西省西安市高新技术产业开发区科技三路60号,300103,达刚路机,2010-08-12,"211,734,000","167,418,483",,,,0,0,西北,陕西,西安市,C 制造业,www.sxdagang.com
300104,乐视网,乐视网信息技术（北京）股份有限公司,"LESHI INTERNET INFORMATION & TECHNOLOGY CORP,. BEIJING",北京市海淀区学院南路68号19号楼六层6184号房间,300104,乐视网,2010-08-12,"3,989,440,192","2,552,890,690",,,,0,0,华北,北京,北京市,I 信息技术,www.letv.com
300105,龙源技术,烟台龙源电力技术股份有限公司,"YANTAI LONGYUAN POWER TECHNOLOGY CO., LTD.",山东省烟台市经济技术开发区衡山路9号,300105,龙源技术,2010-08-20,"513,216,000","513,216,000",,,,0,0,华东,山东,烟台市,C 制造业,www.lypower.com
300106,西部牧业,新疆西部牧业股份有限公司,"Xinjiang Western Animal Husbandry Co.,Ltd",新疆维吾尔自治区石河子市开发区北三东路29-2号,300106,西部牧业,2010-08-20,"211,332,310","210,298,796",,,,0,0,西北,新疆,石河子市,A 农林牧渔,www.xjxbmy.com
300107,建新股份,河北建新化工股份有限公司,"Hebei Jianxin Chemical Co., Ltd.",河北省沧州市临港化工园区（中捷农场）,300107,建新股份,2010-08-20,"545,798,522","327,539,991",,,,0,0,华北,河北,沧州市,C 制造业,www.jianxinchemical.com
300108,吉药控股,吉药控股股份有限公司,"Ji Yao Holding Co., Ltd.",吉林省通化市二道江区铁厂镇,300108,吉药控股,2010-08-25,"666,014,674","422,641,587",,,,0,0,东北,吉林,通化市,C 制造业,www.thslhg.com
300109,新开源,博爱新开源制药股份有限公司,Boai NKY Pharmaceuticals Ltd.,河南省焦作市博爱县文化路（东段）1888号,300109,新开源,2010-08-25,"170,482,422","84,556,717",,,,0,0,华中,河南,焦作市,C 制造业,www.china-pvp.com
300110,华仁药业,华仁药业股份有限公司,"Huaren Pharmaceutical Co.,Ltd.",山东省青岛市高科技工业园株洲路187号,300110,华仁药业,2010-08-25,"986,105,137","983,684,250",,,,0,0,华东,山东,青岛市,C 制造业,www.qdhuaren.com
300111,向日葵,浙江向日葵光能科技股份有限公司,Zhejiang Sunflower Light Energy Science & Technology Limited Liability Company,浙江省绍兴袍江工业区三江路,300111,向日葵,2010-08-27,"1,119,800,000","1,116,800,000",,,,0,0,华东,浙江,绍兴市,C 制造业,www.sunowe.com.cn
300112,万讯自控,深圳万讯自控股份有限公司,"Shenzhen Maxonic Automation Control Co.,Ltd",广东省深圳市南山区高新技术产业园北区三号路万讯自控大楼1-6层,300112,万讯自控,2010-08-27,"266,159,197","174,489,899",,,,0,0,华南,广东,深圳市,C 制造业,www.maxonic.com.cn
300113,顺网科技,杭州顺网科技股份有限公司,"Hangzhou Shunwang Technology Co.,Ltd.",浙江省杭州市西湖区文一西路75号3号楼,300113,顺网科技,2010-08-27,"693,856,644","460,348,015",,,,0,0,华东,浙江,杭州市,I 信息技术,www.shunwang.com
